Database Name,URL,Description
"British Periodicals, I-IV",https://libguides.asu.edu/britishperiodicals,"British Periodicals Collections I-IV (from ProQuest) provides facsimile page images and searchable full text for nearly 500 British periodicals published from the seventeenth century through the twentieth. The equivalent of more than 6 million pages from nearly 500 popular periodicals. Subject areas emphasized include archaeology, architecture, art, drama, fine arts, history, literature, music, philosophy, science and social sciences."
Broadway on Demand,https://libguides.asu.edu/broadway-on-demand,"Streaming access to plays, musicals, dance performances, documentaries, masterclasses, and behind-the-scenes content that supports research and learning in theater and the performing arts."
BrowZine,https://libguides.asu.edu/browzinedb,"Find, read, and monitor thousands of scholarly journals from library subscriptions and open access. Save favorites, set alerts, and export citations with a personal account. Content mainly from 2005 onwards. Mobile app available."
Business Source Elite,https://libguides.asu.edu/business-source,"Multidisciplinary business research database providing curated full-text journals and periodicals, along with indexing, abstracts, and multimedia content across core business disciplines."
CAB Abstracts Archive,https://libguides.asu.edu/cababstracts,"Digitized access to international research in agriculture, veterinary science, nutrition, and environmental studies from 1913 to 1972, sourced from over 600 volumes of printed abstracts."
Cabell's Journalytics Academic,https://libguides.asu.edu/cabells,"Helps education researchers find appropriate journals for manuscript submission by providing scope, review type, acceptance data, submission details, and publisher contact information."
CABI Compendium Invasive Species,https://libguides.asu.edu/invasivespecies,Encyclopedic resource containing datasheets and information on invasive species and their agricultural and environmental impact.
Calisphere,https://libguides.asu.edu/calisphere,"Digital library of primary sources and images, provided by the University of California's institutions and affiliated state partners."
Cambridge Archive Editions Online (EastView),https://libguides.asu.edu/caeo,"Access thousands of digital historical documents from the UK National Archives, focusing on the political and national heritage of East and Southeast Asia, the Near and Middle East, North America, and the Slavic, Balkan, and Caucasus regions."
Cambridge Core - Journals & Books Online,https://libguides.asu.edu/cambridgejrnls,"Peer-reviewed scholarly journals, monographs, textbooks and reference works from a major academic publisher."
Cambridge Histories Online,https://libguides.asu.edu/cambridgehist,"Searchable collection of the Cambridge Histories series, offering authoritative narrative overviews in history, literature, philosophy, religion, music, and the arts."
"Caribbean Newspapers, 1718-1876",https://libguides.asu.edu/carribnews17181876,"Fully searchable 18th- and 19th-century newspapers published throughout the Caribbean that supports research into colonial history, the Atlantic slave trade, international commerce, regional society and Atlantic World relations."
CAS Source Index (CASSI) Search Tool,https://libguides.asu.edu/cassi,"Quickly look up or confirm journal titles, abbreviations, CODEN, ISSN or ISBN for publications indexed by Chemical Abstracts Service (CAS) since 1907."
Catalog of U.S. Government Publications (CGP),https://libguides.asu.edu/catalogusgov,"Coverage:1976+Maximum Concurrent Users:UnlimitedFinding tool for U.S. federal government publications from the Government Publishing Office (GPO). Cites books, reports, studies, serials, maps, & other publications. Topics covered include finance, business, demographics, agriculture, medicine,public health, etc. The CGP contains descriptive records for historical and current publications and provides direct links to those that are available online. GPO is the authoritative national source for descriptive and subject cataloging for Federal Government documents."
CCH AnswerConnect,https://libguides.asu.edu/cchanswerconnect,Offers students and tax professionals the latest tax information and support to manage and protect a business while navigating the changing US Federal and state tax landscape.
Center for Security Studies,https://libguides.asu.edu/isnnet,"Database containing information and analysis on international security, human rights, and defense."
CFile Daily,https://libguides.asu.edu/cfileonline,"Cfile Foundation was founded in 2013 to provide an expanded ceramic field— art, design, architecture and technology—with two things: a knowledge center where the new paradigms shaping our future (and that of other arts) can be addressed, published and broadcast; and a virtual place where a new global, inter-disciplinary community can grow, combine its resources and serve the field during a time of unparalleled flux. In essence we set out to make a ceramic GPS device that would guide the field to its future."
Chatham House Online Archive,https://libguides.asu.edu/chathamhouse,"Contains the publications and archives of the Royal Institute of International Affairs (Chatham House), the independent international affairs policy institute founded in 1920 following the Paris Peace Conference. Publications include the Institute's analysis and research, as well as reports, papers, books, debates and speeches hosted at Chatham House. This online archive is subject-indexed and fully searchable."
Chicago Manual of Style Online,https://libguides.asu.edu/chicagomanstyle,"Searchable online reference providing authoritative guidance on writing, style, grammar, document preparation, and citation practices for American English in publishing and academia."
Chicago Tribune (Proquest),https://libguides.asu.edu/chicagotribune,"Indexes issues from 1985 to present, covering major news and providing bibliographic data on companies, people, and products."
Chicano Database,https://libguides.asu.edu/chicanodb,"Chicano Database provides access to a wide range of materials focused on the Mexican American and Chicano experience, as well as the broader Latino experience of Puerto Ricans, Cuban Americans and Central American immigrants since 1992. Topics covered are class, race, and gender."
Child Drama Collection Index,https://libguides.asu.edu/childdramaidx,"The Child Drama Collection Index contains manuscript materials, posters, photographs and ephemera documenting the international history of theatre for youth."
Children’s Literature Comprehensive Database (CLCD),https://libguides.asu.edu/childrenslitcomp,"Provides access to children's and young adult books, professional reviews, book awards, reading levels, and teaching guides, with advanced search features to support book selection, collection development, and lesson planning."
China Academic Journals,https://libguides.asu.edu/chinaacademic,"Full-text access to Chinese academic journal articles in literature, history, philosophy, politics, law, and economics, with many resources available in both Chinese and English."
China Data Online,https://libguides.asu.edu/chinadata,"Coverage:1949+Maximum Concurrent Users:UnlimitedChina Data Online includes China Geo-Explorer I and China Geo-Explorer II. China Geo-Explorer is a web-based spatial data service that allows easy access to a rich collection of unique, authoritative, and comprehensive information from government statistics, population and economic censuses, and many other data sources in a spatially integrated system with many powerful functions for exploratory spatial data analysis. Unlike many other GIS systems and mapping tools, China Geo-Explorer is compatible with most web browsers and does not require advanced GIS skills to learn and operate. With this spatial intelligence, users can generate maps, charts, tables, and reports using demographic and economic data from China for regional planning, business investment, population, housing, environmental assessment, public health and many other spatial studies. Data sources in this database include demographic and business information for all geographies in the People’s Republic of China (PRC), covering 31 provinces, 345 prefecture cities, 2,873 counties, and over 50,000 townships."
China Doctoral/Master Dissertations,https://libguides.asu.edu/chinadoctoral,"A comprehensive database of dissertations and theses from China, representing more than 300 doctoral training institutions, with coverage from 1999-2018"
China Reference Works Online,https://libguides.asu.edu/crwo,"Trial access ends May 8, 2026. Full-text access to Chinese reference books, including authoritative dictionaries, encyclopedias, and handbooks across various disciplines.Please submit feedback to support continued access."
Chinamaxx,https://libguides.asu.edu/chinamaxx,"Digital library contains 3,000 Chinese e-books focusing on humanities and social sciences."
Chinese Basic Ancient Books Library,https://libguides.asu.edu/erudition,"Features 10,000 titles and 12,500 editions from China's pre-Qin to Republican periods, providing full-text and images for side-by-side comparisons of digitized texts and original manuscripts, including rare and variant editions across multiple fields."
Chinese Pamphlets: Political Communication and Mass Education in the Early Period of the People's Republic of China,https://libguides.asu.edu/chinesepamph,Features digitized propaganda pamphlets and visual materials used for political messaging and public education in early Communist China.
Chronicle of Higher Education,https://libguides.asu.edu/chroniclehighered,"News, analysis, and career resources for higher education professionals, including coverage of research trends, faculty hiring, and academic policy, plus job listings and special reports."
Church Missionary Society Periodicals,https://libguides.asu.edu/churchmissionary,"Digital archive of Anglican missionary periodicals that reveals firsthand accounts of global missions, cultural encounters, health, education, and social change from the 19th century onward"
CINAHL Ultimate,https://libguides.asu.edu/cinahl,"A definitive resource for nursing and allied health research, offering full-text access to peer-reviewed journals, quick lessons, evidence-based care sheets, instructional videos, and continuing education tools across more than 50 specialties."
Civil War Collection,https://libguides.asu.edu/civilwarcoll,"Search primary sources from 1855-1869, featuring articles on international trade, foreign perspectives on the U.S. during the Civil War, diverse views on industries, slavery, and pre- and post-war attitudes, along with detailed reports on troop movements."
Cochrane Library,https://libguides.asu.edu/cochranelib,"Evidence-based health care resources, such as systematic reviews and clinical trials, to support informed medical decision-making and health policy."
Collections Search Center (Smithsonian Institute),https://libguides.asu.edu/collections-si,"Search major collections from the Smithsonian Institution, providing access to descriptions, images, and media across art, history, culture, and science."
Collective Eye Films Collection,https://libguides.asu.edu/docuseek-ce,"Independent documentaries that explore social, political, environmental, and spiritual issues from diverse and often underrepresented perspectives."
CollegeSource,https://libguides.asu.edu/collegesource,"Full text of U.S. and international college catalogs in complete cover-to-cover, original page format along with links to related web resources. Entries also include college profiles and links to their web pages."
Colonial Caribbean,https://libguides.asu.edu/colonial-caribbean,"Explore primary sources from 1624–1870 detailing British colonial governance, trade, settlement, and plantation life across the Caribbean, featuring materials from The National Archives, UK."
Columbia International Affairs Online (CIAO),https://libguides.asu.edu/cioa,"Coverage:1991+Maximum Concurrent Users:UnlimitedComprehensive full text source for theory and research in international affairs. Includes working papers, journal articles; policy briefs and economic indicators; links and resources; maps and country data from university research institutes, occasional papers series from NGOs, foundation-funded research projects, and proceedings from conferences.  This is an essential resource for serious research into International Affairs."
ComAbstracts,https://libguides.asu.edu/comabstracts,A bibliographic index of journal articles and book abstracts in communication and journalism scholarship that supports literature discovery in the field.
ComAnalytics,https://libguides.asu.edu/comanalytics,"Maximum Concurrent Users:UnlimitedComAnalytics provides data about the relative publication performance of individual scholars and of departments of communication (journalism, mass communication, speech, communication studies, media studies, rhetoric, etc.). Scholars can use the metrics in this database to benchmark their own performance."
COMINDEX,https://libguides.asu.edu/comindex,Coverage:1962+Maximum Concurrent Users:UnlimitedProvides access to the contents of 21 core communication journals. It is a subset of the COMINDEX database.
Communication and Mass Media Complete (CMMC),https://libguides.asu.edu/cmmc,"This database is a research and reference source in the fields of communication, journalism, and mass media. The database also covers some aspects of the field of advertising and related topics. The database indexes and abstracts journals and conference presentations."
Compendex,https://libguides.asu.edu/compendex,Index to engineering journal articles and conference papers from the major engineering publishers. Coverage from 1884 onward.
Compendium of Transgenic Crop Plants,https://libguides.asu.edu/compendiumtransgenic,"A specialized resource on genetic modifications in crops, providing data on traits, methods, regulations, and environmental impacts, essential for plant biotechnology research."
Complete Classics Collection of Ancient China,https://libguides.asu.edu/classicsancchina,"Full-text digital collection of foundational Chinese classics and encyclopedic works spanning pre-imperial through Qing-era scholarship across subjects such as history, philosophy, science, literature and culture."
"Computer Science, Data, and AI",https://libguides.asu.edu/ap-csda,"Explore reports, white papers, podcasts, blogs, and videos on AI, machine learning, data science, and emerging technologies."
"Conditions & Politics in Occupied Western Europe, 1940–1945",https://libguides.asu.edu/GDSC,"Trial access ends Mar 31, 2026. Primary source material offering insights into politics, diplomacy, and daily life in German-occupied countries based on British intelligence reports from World War II.Please submit feedback to support continued access."
Contemporary Women's Issues (Gale OneFile),https://libguides.asu.edu/contempwomens,"Full-text access to articles, gray literature, and alternative publications on women's issues from over 190 countries, covering topics such as civil rights, health, education, professional development, and entrepreneurship."
Contemporary World Drama,https://libguides.asu.edu/contemp-world-drama,"A global collection of contemporary plays, including world premieres, unpublished works, and new productions from established and emerging playwrights across all continents, spanning from 2000 to the present."
Cornell Making of America,https://libguides.asu.edu/makingamerica,Digital collection of primary sources in American social history from the Antebellum period through Reconstruction.
Coronavirus Research Database,https://libguides.asu.edu/procorona,This database is created by ProQuest to help libraries support the crucial research needed now to fight COVID-19 as well as support distance learning for their patrons.
Counseling and Psychotherapy Transcripts,https://libguides.asu.edu/counselingtrans,"A collection of real counseling and therapy session transcripts, client narratives on mental illness and treatment, and reference works."
Counseling and Therapy in Video,https://libguides.asu.edu/counselingvideo,"Searchable video collection related to counseling, psychology, and social work, featuring training videos, therapy sessions, and expert consultations on topics like addiction, family therapy, PTSD, and eating disorders. Select videos include teaching guides and transcripts."
CQ Legislative Tracking,https://libguides.asu.edu/CQLeg,"CQ Legislative Tracking provides nonpartisan legislative news, analysis, tracking services and advocacy solutions. It indexes a wide range of information from all 50 states, Congress, the federal register, regulations.gov."
CQ Press Library,https://libguides.asu.edu/cqpress,"Provides analysis of political and social policies, country profiles, Congress members, Supreme Court decisions, and statistical data on American politics and current affairs since 1991."
CQ Researcher,https://libguides.asu.edu/cqresearcher,"Extensive coverage on various topics, including health, international affairs, education, the environment, technology, the U.S. economy, crime, and civil liberties, since 1991."
CQ Voting and Elections Collection,https://libguides.asu.edu/cqelections,"Research tool on American voters, political parties, campaigns, elections, and historical and modern congressional, presidential, and gubernatorial races."
CRC Handbook of Chemistry and Physics,https://libguides.asu.edu/crc-handbook,"Essential scientific data, including constants, the periodic table, compound properties, and reference tables covering solubility, thermodynamics, spectroscopy, and safety parameters"
Criminal Justice Abstracts with Full Text,https://libguides.asu.edu/criminaljustabst,"This resource includes bibliographic records and full text of journals related to criminal justice and criminology. Subjects covered include: corrections, prisons, criminal investigations, forensic sciences, investigation, substance abuse, addiction, probation, and parole."
CRL Library Catalog,https://libguides.asu.edu/researchlibs,"Provides a unified discovery platform for physical and digital holdings of the Center for Research Libraries, supporting comprehensive access and digitization requests for member institutions"
Dai Kanwa Jiten,https://libguides.asu.edu/daikanwa,"Dai Kan-Wa Jiten (""The Great Chinese–Japanese Dictionary"") is a Japanese dictionary of kanji (Chinese characters) compiled by Tetsuji Morohashi."
Dance Online: Dance in Video,https://libguides.asu.edu/dancevideo,"Streaming access to performances, documentaries, and instructional videos featuring influential dance companies and styles from the 20th century to today, including ballet, modern, jazz, and experimental dance."
Database of Chinese Popular Literature,https://libguides.asu.edu/chinesepoplit,"Full-text access to Chinese vernacular literature and popular works from the Qin-Han dynasties to the early Republic of China, including novels, theatrical scripts, storytelling texts, rare books, and regional narrative forms."
Database of Latin Dictionaries,https://libguides.asu.edu/latindictionaries,"This database links Latin terms to vernacular equivalents (English, French, German) and offers deep connections between dictionary entries, allowing users to explore meanings, translations, and historical word usage in context."
Database of Recorded American Music (DRAM),https://libguides.asu.edu/dram,"DRAM offers licensed commercial and archival recordings of American music, featuring high-quality sound files, full liner notes, scholarly articles, and research materials."
David Rumsey Map Collection,https://libguides.asu.edu/davidrumseymaps,"Archive providing access to historical maps, atlases, globes, and maritime charts, featuring interactive tools for searching and aligning old maps with modern geography."
DBpia Journal Database,https://libguides.asu.edu/dbpiajournal,DBpia is a multidisciplinary full-text database of journal articles published by major Korean research institutions. There are over 1900 journal titles and more than 1.9 million articles included. Some resources are also available in English.
De Gruyter Brill Online,https://libguides.asu.edu/degruyter,"An integrated comprehensive research portal for access to primary sources, text collections, reference works, and bibliographies across multiple disciplines."
Defining Gender,https://libguides.asu.edu/gender14501910,"Original documents on gender studies from 21 libraries and archives worldwide, including ephemera, pamphlets, diaries, and poetry. Each section includes thematic essays by leading scholars, covering the period from 1450 to 1910."
Design and Applied Arts Index,https://libguides.asu.edu/designappliedarts,"Comprehensive resource for design and crafts, including textiles, ceramics, vehicle design, advertising, and sustainability. Features journal articles, exhibition reviews, and news from 1973 to present."
Design Library Database,https://libguides.asu.edu/designlib,Includes some 280 Biltmore Hotel construction photographs that are included in the Albert Chase McArthur Collection.
Dictionary of American Regional English (DARE),https://libguides.asu.edu/dare,"Explores regional, historical, and dialectal varieties of American English through definitions, usage quotations, pronunciations, audio clips, and interactive maps."
Dictionary of Old English: A–Le,https://libguides.asu.edu/doe,"Provides definitions for English vocabulary from C.E. 600-1150, utilizing modern technology and complementing the Middle English Dictionary and Oxford English Dictionary to offer a complete lexical overview of early English."
Digital Archaeological Record (tDAR),https://libguides.asu.edu/tdar,International repository for archaeological data and resources.
Digital Commons Network,https://libguides.asu.edu/bepress,Repository of scholarly articles and other scholarly works across multiple disciplines and from hundreds of universities.
Digital Dead Sea Scrolls,https://libguides.asu.edu/digideadseascrolls,Includes a complete set of digitized images of all the Dead Sea Scrolls texts from the eleven caves surrounding Khirbet Qumran.
Digital Library of Classic Protestant Texts,https://libguides.asu.edu/classicprotestant,"Searchable access to over 1,500 key texts from the Reformation and post-Reformation periods, including theological writings, biblical commentaries, and confessional documents, making it essential for studying 16th- and 17th-century religious upheavals."
Digital Library of the Catholic Reformation,https://libguides.asu.edu/catholicreform,"Full-text access to seminal works by Catholic authors from the 16th and 17th centuries, covering theology, biblical commentaries, confessional and political documents, polemical treatises, and more, essential for studying the Reformation and its aftermath."
Digital National Security Archive,https://libguides.asu.edu/digitalnatlsecarchive,"Search a collection of declassified U.S. government documents, meticulously curated and indexed, covering critical events in U.S. foreign policy, intelligence, and national security from 1945 to the present."
Digital Public Library of America (DPLA),https://libguides.asu.edu/dpla,"Digital library of primary and secondary sources from libraries, archives, and museums across America."
"Digital Sanborn Maps, 1867-1970 (Arizona)",https://libguides.asu.edu/sanbornmaps,"Coverage:1867-1970Maximum Concurrent Users:UnlimitedDigital Sanborn Maps, 1867-1970 (Arizona) provides digital access to maps of towns and cities in Arizona."
Digital South Asia Library (DSAL),https://libguides.asu.edu/dsal,"The Digital South Asia Library provides digital materials for reference and research on South Asia to scholars, public officials, business leaders, and other users."
Digital Theatre+,https://libguides.asu.edu/digitaltheatre,"A digital streaming collection of over 1000 full-length films of Shakespeare plays, modern dramas, classical music, dance, musicals, opera and adaptations of classic novels. Digital Theatre Plus includes behind-the-scenes documentaries as well as teaching and learning resources to facilitate a deeper understanding of the productions and texts. Learning resources include a detailed introduction, plot summary, character biographies, a relationship map, language analysis, scene study, performance background and historical context for each play."
Dimensions for Universities,https://libguides.asu.edu/unidimensions,Note:Please access Dimensions using the instructionshere.Dimensions for Universities is a web-based tool designed for universities to analyze and understand the funding landscape.
Directory of Open Access Books,https://libguides.asu.edu/doab,Directory of peer-reviewed books that possess an open access license.
Directory of Open Access Journals,https://libguides.asu.edu/doaj,Directory providing full-text articles from scholarly and scientific journals of various subjects and languages.
"Disabilities in Society, Seventeenth to Twentieth Century (History of Disabilities) (Gale Primary Sources)",https://libguides.asu.edu/history-disabilities-20cent,"A comprehensive collection that examines how society has historically treated and perceived individuals with disabilities, featuring personal memoirs, treatment records, educational methods, and organizational reports. It highlights institutional discrimination, social control, and political exclusion, while showcasing the efforts towards rehabilitation, independence, and the progress of disabled individuals​"
Disability in the Modern World,https://libguides.asu.edu/disa,"Historical and primary-source materials documenting disability culture, activism, and policy, with multimedia content illustrating the evolution of the Disability Rights Movement and disability theory."
DiscoverGov,https://libguides.asu.edu/discovergov,"One-stop searching of multiple Federal databases, including the Catalog of U.S. Government Publications, GovInfo and others."
Dissertations & Theses @ Arizona State University,https://libguides.asu.edu/dissertthesesasu,"Searchable database for full text, citations and abstracts of ASU dissertations. Index only: 1954-1979 (index only); Full text: 1979-present."
Dissertations & Theses Global,https://libguides.asu.edu/proqdissert,"A collection of full-text dissertations and theses featuring millions of searchable citations from 1861 to present. It includes over a million downloadable PDFs, full text for most entries since 1997, and comprehensive coverage of older works, including PQDT UK & Ireland content."
Documenting the American South,https://libguides.asu.edu/docamersouth,"Digitized primary materials from UNC’s Southern Collections offer perspectives on the American South’s history, literature and culture through texts, images and audio."
Docuseek,https://libguides.asu.edu/docuseek,"Streams essential independent, social-issue, and environmental films."
DOI (Digital Object Identifier) Resolver,https://libguides.asu.edu/doi,Allows user to quickly resolve digital object identifiers (DOIs) and ShortDOIs to their web destinations.
Drama Online,https://libguides.asu.edu/dramaonline,"A research database that combines playtext content and scholarly publications with filmed live performances, film adaptations and audio plays. This database is intended for drama and literature students, professors and teachers."
Drama Texts Collection,https://libguides.asu.edu/drtc,"Access over 13,000 plays spanning nearly a millennium, from key Western dramatists to rare, lesser-known works. It’s ideal for in-depth study of English-language drama and offers exclusive, hard-to-find texts unavailable elsewhere."
DSM Library,https://libguides.asu.edu/dsm5,Full-text access to the “Diagnostic and Statistical Manual of Mental Disorders” and related handbooks and case collections that help clinicians and students identify and classify mental health conditions using standardized diagnostic criteria.
Duxiu,https://libguides.asu.edu/duxiu,"This bibliographical index database provides full text search capability to more than 600 million volumes of e-books and other materials including dissertations, journals, magazines, web pages and newspapers. The first 17 pages of each e-book are available for preview. Document delivery is also available."
"Early American Newspapers, Series 1: From Colonies to Nation",https://libguides.asu.edu/ealryamernews,"Early American Newspapers, Series 1, 1690-1876 offers 350,000 fully searchable issues from over 710 historical American newspapers. Focusing largely on the 18th and early 19th centuries, this online collection is based on Brigham’s “History and Bibliography of American Newspapers, 1690-1820” and provides unprecedented access to the nation’s early periods. Additionally, EAN, Series I is cross-searchable with other Archive of Americana® collections held by ASU Library."
Early English Books Online,https://libguides.asu.edu/earlyenglbks,"From the first book published in English in 1473 to 1700, the EEBO contains over 125,000 titles printed in the British Isles and British North America."
Ebart Newspaper Archive,https://libguides.asu.edu/ebart,"Ebart is a database of articles from print media in Serbia and includes titles such as Politika, Danas, and Kurir, among others. It covers news articles from 2003 to present. Content in Serbian, no English language version is available."
Ebook Central,https://libguides.asu.edu/ebrary,"Offers academic ebooks across disciplines from top publishers, supporting research and coursework at all levels."
eBook Collection (EBSCOhost),https://libguides.asu.edu/ebksebscohost,Search a broad collection of academic and professional full-text e-books across disciplines.
EBSCOhost - all EBSCO databases,https://libguides.asu.edu/ebscohost,"This quick link enables a search across all EBSCO databases, with options to select or deselect specific groups for cross-disciplinary topics."
EconLit with Full Text,https://libguides.asu.edu/econlit,"Indexes the world's economic literature. Topics include economic development, forecasting, and history; fiscal and monetary theory; business and public finance; international, health care, regional and urban economics, and more."
Economist Historical Archive (Gale Primary Sources),https://libguides.asu.edu/econohist18432012,"A searchable collection of every issue of The Economist from 1843 to present (with the exception of the last five years). Each weekly issue contains news reporting and analysis, commentary, editorials, statistics, demographics, letters to the editor, obituaries, and historical photographs."
Economist Intelligence Unit Viewpoint,https://libguides.asu.edu/econointelunit,"Provides data and forecasts about political, economic, and business climates of various regions and up to 200 countries as well as related news, analysis, and risk factor assessments."
ECS Digital Library,https://libguides.asu.edu/electrochemsoc,"Includes journals, abstracts, and proceedings published by the Electrochemical Society."
Education Full Text (H.W. Wilson),https://libguides.asu.edu/educft,"Full-text access to scholarly and professional publications covering teaching methods, literacy, classroom management, school administration, and adult and continuing education."
Education in Video,https://libguides.asu.edu/educvideo,"A comprehensive collection of streaming videos focused on the training and development of educators, featuring classroom demonstrations, lectures, and documentaries that cover key aspects of K-12 pedagogy, leadership, and educational psychology."
eHRAF Archaeology,https://libguides.asu.edu/ehrafarchaeology,"Coverage:1975+Maximum Concurrent Users:UnlimitedeHRAF Archaeology is a cross-cultural database with information on the prehistory of the world.  It is organized by regions and archaeological traditions, and each tradition consists of a general summary and full text documents.  The full-text sources are subject-indexed at the paragraph level, and include books, journal articles, dissertations, and manuscripts resources. eHRAF Archaeology is a unique resource designed to facilitate comparative archaeological studies and research."
eHRAF World Cultures,https://libguides.asu.edu/ehrafworldcultures,"Coverage:1800+Maximum Concurrent Users:UnlimitedeHRAF World Cultures database is a collection of thousands of books and articles on cultures from all regions of the world. eHRAF is interdisciplinary and provides ethnographic research for anyone interested in specific data on a particular ethnic group, culture or country, and for researchers investigating topics like kinship, or settlement patterns on a comparative cross-cultural basis.  The database is unique in that sources are subject-indexed at the paragraph level, which allows precise searching for concepts not easily found with keywords."
Eight Centuries,https://libguides.asu.edu/8centuries,"Coverage:1106-1960Maximum Concurrent Users:UnlimitedEight Centuries (formerly 19th Century Masterfile) is a database covering source material dating from 1106 until 1960 (varies by source). 8C aggregates indexes, catalogs, collections, and other finding aids, and includes citations to 9,000 periodicals in 30+ languages. 8C provides access to articles, newspapers, books, U.S. patents, government documents, and images. Links to open access and subscription full-text sources are included where available."
Eighteenth Century Collections Online (ECCO),https://libguides.asu.edu/18centcoll,"Includes every significant English and foreign-language title printed in the UK, along with important works from the Americas between 1701 and 1800, comprising over 32 million pages of text across 180,000 titles and 205,000 volumes."
Eighteenth Century Journals,https://libguides.asu.edu/eighteenthcenjrnls,"Features unique and rare eighteenth-century periodicals from archives in the UK and the US, showcasing the diversity and evolution of publishing between 1685 and 1835. While primarily UK-based, it also includes publications from other English-speaking regions like India."
EL PAIS.es,https://libguides.asu.edu/elpais,"Spain’s leading newspaper provides national, regional, and English editions covering politics, culture, social issues, and global events from a Spanish perspective."
Elsevier Journal and eBook Complete Collections,https://libguides.asu.edu/elseviercc,"Browse an extensive collection of scholarly journals and eBooks from various publishers, covering subjects in the Sciences, Social Sciences, and Humanities."
Emerald Insight,https://libguides.asu.edu/emeraldinsight,"Coverage:This resource provides perpetual access from 1989 until 2020.Maximum Concurrent Users:UnlimitedAccesses academic and professional journals primarily from Emerald Group on marketing, general management, human resources, quality, property, operations, economics, library and information services, information management, and engineering."
Emergence of Advertising in America: 1850 - 1920 (EAA),https://libguides.asu.edu/eaa18501920,Curated online collection of historical U.S. advertising items and publications that illustrate the rise of consumer culture and the professional advertising industry in the 19th and early 20th centuries.
Empire Online,https://libguides.asu.edu/empireonline,"Find primary source documents such as manuscripts, maps, and images that examine colonialism, imperial expansion, and global interactions from the 15th to 20th centuries. Topics include early European exploration and 21st-century imperialism."
"Encyclopedia of Camps and Ghettos, 1933–1945",https://libguides.asu.edu/encyclopedia-ushmm,"The most comprehensive, searchable resource on Nazi camps and ghettos, offering empirically grounded research, archival sources, eyewitness accounts, andinteractive map-based navigation."
Encyclopedia of Jewish Book Cultures Online,https://libguides.asu.edu/ejbc,"This database covers the cultural history of Jewish books, surveying all material and intellectual aspects of book production, publishing, and readership throughout the generations. Includes introductory essays and thematic entries."
Encyclopedia of Language & Linguistics,https://libguides.asu.edu/encyclolangling,"Examines the structure, history, and usage of major and minor world languages through typological, historical, comparative, and variationist methods."
Encyclopedia of Life,https://libguides.asu.edu/encyclolife,Digital encyclopedia documenting information and photographs of all known species of living organisms.
Encyclopedia of Life Sciences (eLS),https://libguides.asu.edu/encyclolifesci,"Peer-reviewed articles across the life sciences, including biochemistry, cell biology, genetics, and ecology, with content published between 2001 and 2010."
Encyclopedia of Social Work,https://libguides.asu.edu/ore-socialwork,"Find peer-reviewed articles on various social work topics, including policy, research, practice, and theory, continuously updated by leading scholars to reflect the latest developments."
Encyclopedia of the Bible and Its Reception Online,https://libguides.asu.edu/ebr,"Surveys the origins and development of the Bible in Judaism and Christianity, and other Western and non-Western religious movements; and documents its reception and influence through diverse cultural, textual, literary, musical, and cinematographic manifestations."
Encyclopedia of Women & Islamic Cultures,https://libguides.asu.edu/encyclowomenislam,Multi-volume interdisciplinary work that covers research literature on all historical periods and geographical areas. Includes comprehensive articles and bibliographies.
Engineering Village,https://libguides.asu.edu/eicompendex,"Search across Compendex, Inspec, Inspec Archive, GEOBASE, and GeoRef. Covering all fields of engineering."
English Short Title Catalogue,https://libguides.asu.edu/engshorttitle,"Bibliographic database of monographs from Britain, North America, and other dependencies, published in English from 1473 to 1800."
Entertainment Industry Magazine Archive,https://libguides.asu.edu/proquesteima,"Coverage:1880 – 2015EIMA is a digitized collection of primary source American and British periodicals focused on broadcasting, film, music, radio, television, theater and video games. With content dating back to 1880, it is the definitive source for studying the history of the film and entertainment industries, from the era of vaudeville and silent movies to the present."
Environment & Energy News,https://libguides.asu.edu/eenews,"Daily coverage of environmental and energy policies through five publications: ClimateWire, E&E Daily, E&E PM News, EnergyWire, and GreenWire. Essential for those monitoring and influencing energy and climate policies."
Environment Complete,https://libguides.asu.edu/envirocmplt,"Access over 800 full-text journals, monographs, curated open-access content, and historical records spanning topics like ecosystem ecology, energy, environmental policy, and sustainability."
ERIC (Education Resources Information Center),https://libguides.asu.edu/ericeduc,"Searchable index and full-text collection of education research sponsored by the U.S. Department of Education, featuring journal articles, reports, and ERIC Documents supporting research, policy, and practice in education."
ERIC (ProQuest),https://libguides.asu.edu/ericproq,"Find a wide range of education-related literature, including journal articles, conference proceedings, reports, and books, sponsored by the U.S. Department of Education."
Espacenet (EPO),https://libguides.asu.edu/espacenet,"Database providing access to patent information from over 90 countries, including the U.S."
eStatement Studies,https://libguides.asu.edu/estatement,"Maximum Concurrent Users:UnlimitedProvides annual financial ratios benchmarks (FRB) and industry default probabilities (IDP) for NAICS industry classifications. The data is presented for each industry by asset size, sales, and historical 5-year comparisons of totals. Used to compare a company's performance against its industry/competitors, see trends in industry performance over time, or assess credit risk. The Library's access is to eStatement Studies content only.  Content in other products shown on the website is NOT available."
Ethnic NewsWatch,https://libguides.asu.edu/ethnicnews,"Ethnic NewsWatch offers articles from minority presses, including African American, Caribbean, Arab, Asian, European, Hispanic, Jewish, and Native American sources, with coverage starting from 1990."
Ethnographic Video Online,https://libguides.asu.edu/ethnographicvid,"Streaming ethnographic films and documentaries, along with previously unpublished fieldwork on global human culture, field notes, filmmaker biographies, related articles, and study guides."
